feature,mean_importance,std_importance,max_importance,min_importance,horizons,total_observations,stability_score,horizon_coverage,robustness_score,feature_group,horizon,dominant_horizon_type,robust_rank,stable_feature,high_importance_feature,cross_horizon_feature,noisy_feature,selected
astro_trend_end_score_chg_30,0.0148870034019794,0.0,0.0148870034019794,0.0148870034019794,1,1,14887.003401979402,0.1666666666666666,5210.498812160818,trend_end,30,swing,1,True,True,False,False,True
astro_compression_score_roll_min_30,0.014542725321699,0.0,0.014542725321699,0.014542725321699,1,1,14542.725321699,0.1666666666666666,5090.001346351445,compression,90,macro,2,True,True,False,False,True
astro_momentum_v2_chg_5,0.0134706423995854,0.0,0.0134706423995854,0.0134706423995854,1,1,13470.6423995854,0.1666666666666666,4714.771894778517,other,3,timing,3,True,True,False,False,True
astro_bullish_score_chg_30,0.0122855833868953,0.0,0.0122855833868953,0.0122855833868953,1,1,12285.5833868953,0.1666666666666666,4300.0007663133765,bullish,14,swing,4,True,False,False,False,True
astro_bearish_score_chg_3,0.012283478507977,0.0,0.012283478507977,0.012283478507977,1,1,12283.478507977,0.1666666666666666,4299.26405785002,bearish,3,timing,5,True,False,False,False,True
astro_bullish_score_smooth_ema_3,0.0117692668570877,0.0,0.0117692668570877,0.0117692668570877,1,1,11769.2668570877,0.1666666666666666,4119.289774354105,bullish,3,timing,6,True,False,False,False,True
astro_bearish_score_roll_min_5,0.0117515953655145,0.0,0.0117515953655145,0.0117515953655145,1,1,11751.5953655145,0.1666666666666666,4113.1047452348885,bearish,60,macro,7,True,False,False,False,True
astro_bearish_score_smooth_roll_min_10,0.0117479690760815,0.0,0.0117479690760815,0.0117479690760815,1,1,11747.9690760815,0.1666666666666666,4111.835542482822,bearish,60,macro,8,True,False,False,False,True
astro_momentum_v2_smooth_chg_10,0.0113283633422188,0.0,0.0113283633422188,0.0113283633422188,1,1,11328.3633422188,0.1666666666666666,3964.973367788583,other,3,timing,9,True,False,False,False,True
astro_bearish_score_roll_min_3,0.0112442713307832,0.0,0.0112442713307832,0.0112442713307832,1,1,11244.2713307832,0.1666666666666666,3935.541130149319,bearish,60,macro,10,True,False,False,False,True
astro_reversal_score_chg_10,0.0110923958707804,0.0,0.0110923958707804,0.0110923958707804,1,1,11092.3958707804,0.1666666666666666,3882.384658398155,reversal,3,timing,11,True,False,False,False,True
astro_bullish_score_smooth_roll_max_10,0.0110472110913853,0.0,0.0110472110913853,0.0110472110913853,1,1,11047.2110913853,0.1666666666666666,3866.5699675359583,bullish,3,timing,12,True,False,False,False,True
astro_compression_score_roll_min_21,0.0110045885512778,0.0,0.0110045885512778,0.0110045885512778,1,1,11004.5885512778,0.1666666666666666,3851.652061449317,compression,90,macro,13,True,False,False,False,True
astro_bullish_score_chg_3,0.0107212611018813,0.0,0.0107212611018813,0.0107212611018813,1,1,10721.2611018813,0.1666666666666666,3752.487340829562,bullish,3,timing,14,True,False,False,False,True
astro_momentum_v2_chg_30,0.0107124424472201,0.0,0.0107124424472201,0.0107124424472201,1,1,10712.4424472201,0.1666666666666666,3749.40080817068,other,14,swing,15,True,False,False,False,True
astro_trend_start_score_roll_min_21,0.0104431663132046,0.0,0.0104431663132046,0.0104431663132046,1,1,10443.1663132046,0.1666666666666666,3655.1540535548015,trend_start,60,macro,16,True,False,False,False,True
astro_trend_start_score_roll_min_10,0.0102372523456536,0.0,0.0102372523456536,0.0102372523456536,1,1,10237.2523456536,0.1666666666666666,3583.084082546364,trend_start,7,timing,17,True,False,False,False,True
astro_momentum_v2_roll_min_30,0.0098023218125826,0.0,0.0098023218125826,0.0098023218125826,1,1,9802.3218125826,0.1666666666666666,3430.858221999302,other,60,macro,18,True,False,False,False,True
planet_trend_start_Jupiter,0.0093244860409966,0.0,0.0093244860409966,0.0093244860409966,1,1,9324.4860409966,0.1666666666666666,3263.615510809893,jupiter,14,swing,19,True,False,False,False,True
astro_bullish_score_smooth_roll_max_5,0.0118323643941098,1.6224294266700467e-05,0.0118438367026058,0.0118208920856139,2,2,686.9578637532469,0.3333333333333333,240.52331859272735,bullish,7,timing,20,True,False,False,False,True
astro_bullish_score_smooth,0.0106361047873797,0.0001980963083207,0.0107761800303214,0.0104960295444381,2,2,53.42190860838404,0.3333333333333333,18.785255788182692,bullish,3,timing,21,True,False,False,False,True
astro_bullish_score_roll_min_30,0.0162595652979739,0.0003179140276572,0.0164843644627647,0.0160347661331832,2,2,50.984164658476814,0.3333333333333333,17.934294789919406,bullish,90,macro,22,True,True,False,False,True
astro_bullish_score_smooth_chg_21,0.010252052636414,0.0002403444406083,0.0104497964423305,0.0099845435769701,3,3,42.47892601367976,0.5,14.99672492584248,bullish,7,timing,23,True,False,False,False,True
astro_trend_start_score_roll_min_5,0.0106655149431052,0.0002615627537825,0.0109849879565717,0.0103787608813262,4,4,40.62082222042048,0.6666666666666666,14.388220649791077,trend_start,14,swing,24,True,False,False,False,True
astro_trend_start_score_ema_21,0.0113857408725165,0.0002994100477615,0.0115974557476441,0.0111740259973889,2,2,37.90066596425168,0.3333333333333333,13.353120717170428,trend_start,14,swing,25,True,False,False,False,True
astro_bearish_score_ema_30,0.0108291062911757,0.0002955721647185,0.0110381073731782,0.0106201052091733,2,2,36.51423693607221,0.3333333333333333,12.867647903475078,bearish,60,macro,26,True,False,False,False,True
